,mid,typ,agreed_count,total_annotation
0,./nw/wsj/02/wsj_0289.v4_gold_conll-0-0-4,organization,3,4
1,./nw/wsj/02/wsj_0289.v4_gold_conll-0-11-12,location,4,4
2,./nw/wsj/02/wsj_0289.v4_gold_conll-0-11-12,location.country,3,4
3,./nw/wsj/02/wsj_0289.v4_gold_conll-0-14-17,finance.currency,4,4
4,./nw/wsj/02/wsj_0289.v4_gold_conll-0-18-21,finance.currency,4,4
5,./nw/wsj/02/wsj_0289.v4_gold_conll-0-37-38,location,3,4
6,./nw/wsj/02/wsj_0289.v4_gold_conll-0-37-38,location.city,3,4
7,./nw/wsj/02/wsj_0289.v4_gold_conll-1-0-1,organization,4,4
8,./nw/wsj/02/wsj_0289.v4_gold_conll-1-0-1,organization.company,3,4
9,./nw/wsj/02/wsj_0289.v4_gold_conll-1-13-16,finance.currency,4,4
10,./nw/wsj/02/wsj_0289.v4_gold_conll-1-18-19,location,4,4
11,./nw/wsj/02/wsj_0289.v4_gold_conll-1-18-19,location.city,2,4
12,./nw/wsj/02/wsj_0289.v4_gold_conll-1-5-6,location,4,4
13,./nw/wsj/02/wsj_0289.v4_gold_conll-1-5-6,location.city,3,4
14,./nw/wsj/02/wsj_0289.v4_gold_conll-2-20-22,person,4,4
15,./nw/wsj/02/wsj_0289.v4_gold_conll-2-3-4,organization,4,4
16,./nw/wsj/02/wsj_0289.v4_gold_conll-2-3-4,organization.company,3,4
17,./nw/wsj/02/wsj_0289.v4_gold_conll-2-5-6,location,4,4
18,./nw/wsj/02/wsj_0289.v4_gold_conll-2-5-6,location.country,3,4
19,./nw/wsj/02/wsj_0289.v4_gold_conll-3-0-1,organization,4,4
20,./nw/wsj/02/wsj_0289.v4_gold_conll-3-0-1,organization.company,3,4
21,./nw/wsj/02/wsj_0289.v4_gold_conll-3-20-24,government.government,2,4
22,./nw/wsj/02/wsj_0289.v4_gold_conll-3-20-24,organization,4,4
23,./nw/wsj/02/wsj_0289.v4_gold_conll-3-20-24,organization.company,2,4
24,./nw/wsj/02/wsj_0289.v4_gold_conll-4-14-15,time,4,4
25,./nw/wsj/02/wsj_0289.v4_gold_conll-4-5-6,organization,4,4
26,./nw/wsj/02/wsj_0289.v4_gold_conll-4-5-6,organization.company,3,4
27,./nw/wsj/02/wsj_0289.v4_gold_conll-5-0-3,government.government,2,4
28,./nw/wsj/02/wsj_0289.v4_gold_conll-5-0-3,organization,4,4
29,./nw/wsj/02/wsj_0289.v4_gold_conll-5-0-3,organization.company,2,4
30,./nw/wsj/02/wsj_0289.v4_gold_conll-5-23-24,location,4,4
31,./nw/wsj/02/wsj_0289.v4_gold_conll-5-23-24,location.city,3,4
32,./nw/wsj/02/wsj_0289.v4_gold_conll-5-28-31,finance.currency,4,4
33,./nw/wsj/02/wsj_0289.v4_gold_conll-5-6-7,organization,4,4
34,./nw/wsj/02/wsj_0289.v4_gold_conll-5-6-7,organization.company,3,4
35,./nw/wsj/02/wsj_0289.v4_gold_conll-6-0-1,organization,4,4
36,./nw/wsj/02/wsj_0289.v4_gold_conll-6-0-1,organization.company,3,4
37,./nw/wsj/04/wsj_0424.v4_gold_conll-0-0-3,person,4,4
38,./nw/wsj/04/wsj_0424.v4_gold_conll-0-0-3,person.politician,2,4
39,./nw/wsj/04/wsj_0424.v4_gold_conll-1-1-2,person,4,4
40,./nw/wsj/04/wsj_0424.v4_gold_conll-1-1-2,person.politician,2,4
41,./nw/wsj/04/wsj_0424.v4_gold_conll-1-16-25,organization,4,4
42,./nw/wsj/04/wsj_0424.v4_gold_conll-1-16-25,organization.educational_institution,2,4
43,./nw/wsj/04/wsj_0424.v4_gold_conll-1-30-36,government.government,2,4
44,./nw/wsj/04/wsj_0424.v4_gold_conll-1-30-36,government_agency,3,4
45,./nw/wsj/04/wsj_0424.v4_gold_conll-1-30-36,organization,4,4
46,./nw/wsj/04/wsj_0424.v4_gold_conll-1-8-13,education.department,2,4
47,./nw/wsj/04/wsj_0424.v4_gold_conll-1-8-13,organization,4,4
48,./nw/wsj/04/wsj_0424.v4_gold_conll-1-8-13,organization.educational_institution,2,4
49,./nw/wsj/04/wsj_0424.v4_gold_conll-2-3-4,organization,2,4
50,./nw/wsj/04/wsj_0424.v4_gold_conll-2-3-4,person,2,4
51,./nw/wsj/04/wsj_0486.v4_gold_conll-0-0-3,organization,4,4
52,./nw/wsj/04/wsj_0486.v4_gold_conll-0-0-3,organization.company,4,4
53,./nw/wsj/04/wsj_0486.v4_gold_conll-0-15-19,organization,4,4
54,./nw/wsj/04/wsj_0486.v4_gold_conll-0-15-19,organization.company,4,4
55,./nw/wsj/04/wsj_0486.v4_gold_conll-0-21-22,location,4,4
56,./nw/wsj/04/wsj_0486.v4_gold_conll-0-21-22,location.country,4,4
57,./nw/wsj/04/wsj_0486.v4_gold_conll-0-23-27,finance.currency,4,4
58,./nw/wsj/04/wsj_0486.v4_gold_conll-0-4-5,location,3,4
59,./nw/wsj/04/wsj_0486.v4_gold_conll-0-4-5,location.city,3,4
60,./nw/wsj/04/wsj_0486.v4_gold_conll-0-6-7,location,3,4
61,./nw/wsj/04/wsj_0486.v4_gold_conll-0-6-7,location.province,2,4
62,./nw/wsj/04/wsj_0486.v4_gold_conll-0-9-10,organization,3,4
63,./nw/wsj/04/wsj_0486.v4_gold_conll-0-9-10,organization.company,3,4
64,./nw/wsj/04/wsj_0486.v4_gold_conll-1-1-2,ethnicity,3,4
65,./nw/wsj/04/wsj_0486.v4_gold_conll-1-25-26,location,4,4
66,./nw/wsj/04/wsj_0486.v4_gold_conll-1-6-8,organization,4,4
67,./nw/wsj/04/wsj_0486.v4_gold_conll-1-6-8,organization.company,4,4
68,./nw/wsj/04/wsj_0486.v4_gold_conll-2-20-21,location,4,4
69,./nw/wsj/04/wsj_0486.v4_gold_conll-2-20-21,location.country,4,4
70,./nw/wsj/04/wsj_0486.v4_gold_conll-2-22-23,location,4,4
71,./nw/wsj/04/wsj_0486.v4_gold_conll-2-22-23,location.country,4,4
72,./nw/wsj/04/wsj_0486.v4_gold_conll-2-9-11,organization,4,4
73,./nw/wsj/04/wsj_0486.v4_gold_conll-2-9-11,organization.company,4,4
74,./nw/wsj/04/wsj_0486.v4_gold_conll-3-4-5,time,3,4
75,./nw/wsj/04/wsj_0486.v4_gold_conll-3-7-11,finance.currency,4,4
76,./nw/wsj/04/wsj_0486.v4_gold_conll-4-0-2,organization,3,4
77,./nw/wsj/04/wsj_0486.v4_gold_conll-4-0-2,organization.company,3,4
78,./nw/wsj/04/wsj_0486.v4_gold_conll-4-20-21,location,4,4
79,./nw/wsj/04/wsj_0486.v4_gold_conll-4-20-21,location.country,4,4
80,./nw/wsj/04/wsj_0486.v4_gold_conll-4-22-23,location,4,4
81,./nw/wsj/04/wsj_0486.v4_gold_conll-4-22-23,location.country,4,4
82,./nw/wsj/04/wsj_0486.v4_gold_conll-4-24-25,location,4,4
83,./nw/wsj/04/wsj_0486.v4_gold_conll-4-24-25,location.country,4,4
84,./nw/wsj/04/wsj_0486.v4_gold_conll-4-26-27,location,4,4
85,./nw/wsj/04/wsj_0486.v4_gold_conll-4-26-27,location.country,4,4
