,mid,typ,gold_type,agreed_count,total_annotation
0,./nw/wsj/02/wsj_0289.v4_gold_conll-0-0-4,organization,organization,3,4
1,./nw/wsj/02/wsj_0289.v4_gold_conll-0-11-12,location,location,4,4
2,./nw/wsj/02/wsj_0289.v4_gold_conll-0-11-12,location.country,location,3,4
3,./nw/wsj/02/wsj_0289.v4_gold_conll-0-14-17,finance.currency,finance.currency,4,4
4,./nw/wsj/02/wsj_0289.v4_gold_conll-0-18-21,finance.currency,finance.currency,4,4
5,./nw/wsj/02/wsj_0289.v4_gold_conll-0-37-38,location,location,3,4
6,./nw/wsj/02/wsj_0289.v4_gold_conll-0-37-38,location.city,location,3,4
7,./nw/wsj/02/wsj_0289.v4_gold_conll-1-0-1,organization,organization,4,4
8,./nw/wsj/02/wsj_0289.v4_gold_conll-1-0-1,organization.company,organization,3,4
9,./nw/wsj/02/wsj_0289.v4_gold_conll-1-13-16,finance.currency,finance.currency,4,4
10,./nw/wsj/02/wsj_0289.v4_gold_conll-1-18-19,location,location,4,4
11,./nw/wsj/02/wsj_0289.v4_gold_conll-1-5-6,location,location,4,4
12,./nw/wsj/02/wsj_0289.v4_gold_conll-1-5-6,location.city,location,3,4
13,./nw/wsj/02/wsj_0289.v4_gold_conll-2-20-22,person,person,4,4
14,./nw/wsj/02/wsj_0289.v4_gold_conll-2-3-4,organization,organization,4,4
15,./nw/wsj/02/wsj_0289.v4_gold_conll-2-3-4,organization.company,organization,3,4
16,./nw/wsj/02/wsj_0289.v4_gold_conll-2-5-6,location,location,4,4
17,./nw/wsj/02/wsj_0289.v4_gold_conll-2-5-6,location.country,location,3,4
18,./nw/wsj/02/wsj_0289.v4_gold_conll-3-0-1,organization,organization,4,4
19,./nw/wsj/02/wsj_0289.v4_gold_conll-3-0-1,organization.company,organization,3,4
20,./nw/wsj/02/wsj_0289.v4_gold_conll-3-20-24,organization,organization,4,4
21,./nw/wsj/02/wsj_0289.v4_gold_conll-4-14-15,time,time,4,4
22,./nw/wsj/02/wsj_0289.v4_gold_conll-4-5-6,organization,organization,4,4
